HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.comment,Answer.confcode,Approve,Reject
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,3NJM2BJS4W6UXPQAKVQQBUYM0GHPCR,A1F3XD5WEK7H7E,Submitted,Mon Jun 29 12:21:35 PDT 2020,Mon Jun 29 13:07:47 PDT 2020,Tue Jun 30 13:07:47 PDT 2020,,,,2772,0% (0/0),0% (0/0),0% (0/0),{},76992020,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,3PWWM24LHSYWTFZR1LZ9DVUAZFQ823,A18VIO909RWY6D,Submitted,Mon Jun 29 14:50:33 PDT 2020,Mon Jun 29 15:42:57 PDT 2020,Tue Jun 30 15:42:57 PDT 2020,,,,3144,0% (0/0),0% (0/0),0% (0/0),{},73434856,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,3TPZPLC3M0C6KPURR2FPIRUSU353P8,A2NA2OJT15COZY,Submitted,Mon Jun 29 14:51:57 PDT 2020,Mon Jun 29 15:39:13 PDT 2020,Tue Jun 30 15:39:13 PDT 2020,,,,2836,0% (0/0),0% (0/0),0% (0/0),{},42570876,,
3ZXNP4Z39RLW73IMBJK6P712SDSL7I,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:21:14 PDT 2020,9,BatchId:4097832;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:21:14 PDT 2020,,,3UJ1CZ6IZHP6BWXNX27CSTXNVJ2S52,AGWWUXDX6CI38,Submitted,Mon Jun 29 12:21:34 PDT 2020,Mon Jun 29 12:42:20 PDT 2020,Tue Jun 30 12:42:20 PDT 2020,,,,1246,0% (0/0),0% (0/0),0% (0/0),{},60903711,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,33LKR6A5KEK82E9JLFAQZ8GSLMC1TJ,A2PIFMM4Q2I9ZS,Submitted,Mon Jun 29 12:22:17 PDT 2020,Mon Jun 29 13:17:02 PDT 2020,Tue Jun 30 13:17:02 PDT 2020,,,,3285,0% (0/0),0% (0/0),0% (0/0),{},66030793,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,382M9COHEHFMMSIKX8VFBOLOT9MUEL,A39VZ93N96XB6O,Submitted,Mon Jun 29 12:22:16 PDT 2020,Mon Jun 29 12:46:15 PDT 2020,Tue Jun 30 12:46:15 PDT 2020,,,,1439,0% (0/0),0% (0/0),0% (0/0),{},53667076,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,388U7OUMF71VFAB9L71VLOW0S9BR0V,A2G7DTL156PTKA,Submitted,Mon Jun 29 12:39:37 PDT 2020,Mon Jun 29 12:47:30 PDT 2020,Tue Jun 30 12:47:30 PDT 2020,,,,473,0% (0/0),0% (0/0),0% (0/0),{},34113574,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3HL8HNGX451G8EUDU8KUXAJASPS9FS,AT8LEYIKYE2IO,Submitted,Mon Jun 29 13:52:12 PDT 2020,Mon Jun 29 14:41:57 PDT 2020,Tue Jun 30 14:41:57 PDT 2020,,,,2985,0% (0/0),0% (0/0),0% (0/0),{},66175255,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3I7DHKZYGN0X7RS1RI7DLUE86U65FW,A3V8C77FN4FLUA,Submitted,Mon Jun 29 17:43:52 PDT 2020,Mon Jun 29 17:55:20 PDT 2020,Tue Jun 30 17:55:20 PDT 2020,,,,688,0% (0/0),0% (0/0),0% (0/0),{},57525248,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3LKC68YZ3A3LQNKEMMDCYO0ZIR3WOQ,A30HUZHJBOX1LK,Submitted,Mon Jun 29 13:23:12 PDT 2020,Mon Jun 29 13:41:11 PDT 2020,Tue Jun 30 13:41:11 PDT 2020,,,,1079,0% (0/0),0% (0/0),0% (0/0),{},25583344,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3QY5DC2MXRKES6IGSJFLT66O5A1UF3,AMPMTF5IAAMK8,Submitted,Mon Jun 29 12:22:17 PDT 2020,Mon Jun 29 12:39:59 PDT 2020,Tue Jun 30 12:39:59 PDT 2020,,,,1062,0% (0/0),0% (0/0),0% (0/0),{},42424501,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3Z7VU45IPYH4OQIIR7Z8LWH96IXZ1W,A2KSAAQBU5R0F6,Submitted,Mon Jun 29 13:18:54 PDT 2020,Mon Jun 29 13:55:14 PDT 2020,Tue Jun 30 13:55:14 PDT 2020,,,,2180,0% (0/0),0% (0/0),0% (0/0),{},26086799,,
3IJ95K7NDXC5OWW8GZ4F8CIKWBBNGP,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Mon Jun 29 12:22:10 PDT 2020,9,BatchId:4097834;OriginalHitTemplateId:928390828;,3600,86400,Sun Jul 19 12:22:10 PDT 2020,,,3ZDAD0O1T1DGSFUCS8VXUHKTQ1DTXP,A26TKC3Q2KBWML,Submitted,Mon Jun 29 15:04:55 PDT 2020,Mon Jun 29 15:30:27 PDT 2020,Tue Jun 30 15:30:27 PDT 2020,,,,1532,0% (0/0),0% (0/0),0% (0/0),{},33772399,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,33ISQZVXPPMB30H6FQ4KRUZF21KCCR,AR42EOSOZX523,Submitted,Tue Jun 30 08:55:00 PDT 2020,Tue Jun 30 09:07:28 PDT 2020,Wed Jul 01 09:07:28 PDT 2020,,,,748,0% (0/0),0% (0/0),0% (0/0),{},8248514,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,384PI804XS17GPBM0W10BY1WFFP0SW,A17DEELX3WVYDY,Submitted,Tue Jun 30 07:24:18 PDT 2020,Tue Jun 30 08:15:06 PDT 2020,Wed Jul 01 08:15:06 PDT 2020,,,,3048,0% (0/0),0% (0/0),0% (0/0),{},14183388,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3CTOC39K37QSZXSGY1DVYCKWR9G7JJ,AAM0Q3DCSSQ0A,Submitted,Tue Jun 30 08:18:13 PDT 2020,Tue Jun 30 09:00:42 PDT 2020,Wed Jul 01 09:00:42 PDT 2020,,,,2549,0% (0/0),0% (0/0),0% (0/0),{},52675592,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3J2UYBXQQLC2TRDPTJYXAT54XR606Q,A3CD3C99T8S6ON,Submitted,Tue Jun 30 11:01:21 PDT 2020,Tue Jun 30 11:53:11 PDT 2020,Wed Jul 01 11:53:11 PDT 2020,,,,3110,0% (0/0),0% (0/0),0% (0/0),{},17929537,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3KIBXJ1WD5UUVNQXX8U9AD64WNQOKP,A3TMW8J58LZXEU,Submitted,Tue Jun 30 07:19:40 PDT 2020,Tue Jun 30 07:47:53 PDT 2020,Wed Jul 01 07:47:53 PDT 2020,,,,1693,0% (0/0),0% (0/0),0% (0/0),{},28196366,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3OLF68YTN91UDX4IMEYUT5UUZA5FAF,A1HH3ZNP1JP6KP,Submitted,Tue Jun 30 07:42:48 PDT 2020,Tue Jun 30 08:00:45 PDT 2020,Wed Jul 01 08:00:45 PDT 2020,,,,1077,0% (0/0),0% (0/0),0% (0/0),{},47852122,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3S0TNUHWKTIJWPX7YAJQ9ELEXA48DA,A3FHIX6HE7YINC,Submitted,Tue Jun 30 08:18:55 PDT 2020,Tue Jun 30 08:34:45 PDT 2020,Wed Jul 01 08:34:45 PDT 2020,,,,950,0% (0/0),0% (0/0),0% (0/0),{},93192232,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3TMSXRD2X600UVDDGKF1MSNRQK91WX,A31AQ9C1BOCRTR,Submitted,Tue Jun 30 08:42:49 PDT 2020,Tue Jun 30 09:12:03 PDT 2020,Wed Jul 01 09:12:03 PDT 2020,,,,1754,0% (0/0),0% (0/0),0% (0/0),i like this survey,19743493,,
31ANT7FQN82FY3LDW5QBZVUZKQIH5M,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:17:53 PDT 2020,9,BatchId:4098864;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:17:53 PDT 2020,,,3YMTUJH0DSGPUD628XTSX6NVY9H4T1,A2A1FS0KVLJ9ZT,Submitted,Tue Jun 30 07:18:59 PDT 2020,Tue Jun 30 07:30:59 PDT 2020,Wed Jul 01 07:30:59 PDT 2020,,,,720,0% (0/0),0% (0/0),0% (0/0),"I refused to submit my credit score rating, as this is not only against Amazon's TOS but also a breach of privacy. Furthermore, the pay was simply too low to allow for it. I would also warn about this in the hit itself, so people have the opportunity to skip your study without feeling cheated or scammed.",72768964,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,351SEKWQS0HYHEZBSBT9EWM9HEFMDW,AJPBK7PVSPKVS,Submitted,Tue Jun 30 07:55:19 PDT 2020,Tue Jun 30 08:28:47 PDT 2020,Wed Jul 01 08:28:47 PDT 2020,,,,2008,0% (0/0),0% (0/0),0% (0/0),no problem for me,49385962,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,3A4NIXBJ76ZHFQN35SRXX9UEQNGMLB,A2TTT2JCERR0SX,Submitted,Tue Jun 30 07:26:42 PDT 2020,Tue Jun 30 07:54:24 PDT 2020,Wed Jul 01 07:54:24 PDT 2020,,,,1662,0% (0/0),0% (0/0),0% (0/0),NO,55020302,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,3DQQ64TANGL3BNWF1MQRNO5PTZVWPA,A39IW62YF0AH98,Submitted,Tue Jun 30 09:09:49 PDT 2020,Tue Jun 30 09:23:53 PDT 2020,Wed Jul 01 09:23:53 PDT 2020,,,,844,0% (0/0),0% (0/0),0% (0/0),{},78033083,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,3QUO65DNQUO8YJV9RMYBG0F2YEOOUM,A3A0RP6IUR41PP,Submitted,Tue Jun 30 07:30:17 PDT 2020,Tue Jun 30 07:42:14 PDT 2020,Wed Jul 01 07:42:14 PDT 2020,,,,717,0% (0/0),0% (0/0),0% (0/0),{},47384637,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,3R2UR8A0IAG0FNP4WR9Y07E6SW5OXE,AEABRUWKPKUH0,Submitted,Tue Jun 30 07:18:27 PDT 2020,Tue Jun 30 08:07:27 PDT 2020,Wed Jul 01 08:07:27 PDT 2020,,,,2940,0% (0/0),0% (0/0),0% (0/0),Great.,92914543,,
37SOB9Z0SSXE6KHZ97HGCQPMNC13LS,3BKHVQNNEXWEN8Z5WZNPWBV72OHYWT,Quick study on decision making,Short psychology study asking what you would do in a hypothetical scenario,"psychology, decision making, consumer behavior",$1.00,Tue Jun 30 07:18:22 PDT 2020,9,BatchId:4098865;OriginalHitTemplateId:928390828;,3600,86400,Mon Jul 20 07:18:22 PDT 2020,,,3TPWUS5F891KHYNBWH4L3O6IUGGCWC,A1ETEW9WH37WDS,Submitted,Tue Jun 30 07:35:56 PDT 2020,Tue Jun 30 07:46:38 PDT 2020,Wed Jul 01 07:46:38 PDT 2020,,,,642,0% (0/0),0% (0/0),0% (0/0),{},85040777,,
